"date_char","Any Other Government/Coalition_Back","Any Other Government/Coalition_Lay","Con-Lib Dem Coalition_Back","Con-Lib Dem Coalition_Lay","Con-UKIP Coalition_Back","Con-UKIP Coalition_Lay","Con Majority_Back","Con Majority_Lay","Con Minority_Back","Con Minority_Lay","Lab-Lib Dem Coalition_Back","Lab-Lib Dem Coalition_Lay","Lab Majority_Back","Lab Majority_Lay","Lab Minority_Back","Lab Minority_Lay"
"06/01/2015 17:16:04",6.2,7,7.4,8.2,14,28,6.2,6.8,5.8,6.4,9.2,10.5,6,7,7.4,7.6
"06/01/2015 17:20:25",6.2,7,7.4,8.2,14,28,6.2,6.8,5.8,6.4,9.2,10.5,6,7,7.4,7.6
"07/01/2015 17:14:52",6.2,6.6,7.4,9.4,14.5,28,6,6.4,6.4,7.4,9.2,10.5,6.2,6.6,5.9,7.4
"08/01/2015 15:14:29",6.2,6.6,8,9.2,19.5,28,6.2,6.4,6.6,8,9.6,10,6.4,6.6,6.4,7.4
"09/01/2015 09:47:32",5.7,6.6,8.2,9.4,18,28,6.2,6.4,6.4,8,9.8,10.5,6.4,7,6.6,7.4
"09/01/2015 20:11:30",5.7,6.6,8.2,9.4,13,27,6.2,6.8,6.6,8,9.8,10,6.6,7,5.9,7.2
"10/01/2015 10:57:54",5.7,6.6,8.2,9.4,15,28,6.2,6.8,6.6,7.8,9.4,10,6.8,7,5.9,7.2
"11/01/2015 10:47:30",6,6.6,8.2,9.4,16.5,28,6.2,6.6,6.8,7,9.8,10.5,6.8,7,5.9,6.4
"11/01/2015 22:21:19",5.9,6.4,8.2,9.4,18,26,6.4,6.8,6.6,7.2,9.8,10.5,6.8,7.6,6.2,6.4
"12/01/2015 11:04:11",6,6.4,8.2,9.6,14.5,26,6.4,6.8,6.6,7.2,9.8,10.5,6.8,8.2,6.2,6.4
"12/01/2015 12:28:05",6,6.4,8.4,9.6,14.5,26,6.4,6.8,6.8,7.2,10,10.5,7,8.2,6.2,6.4
"12/01/2015 19:47:58",6,6.4,8.6,9.6,14,26,6,6.4,7,7.2,10,10.5,7,7.6,6.2,7.2
"14/01/2015 11:21:20",6,6.4,8.6,9,19.5,25,5.7,6.2,5.4,7.2,9.8,12,7.2,8,5.9,7.4
"15/01/2015 12:26:41",5.9,6.2,8.6,9,19.5,25,5.9,6.4,5.4,7.2,9.8,12,7.4,8,5.9,7.4
"15/01/2015 19:47:48",6,6.4,8.6,9,20,25,6,6.4,6.2,7.2,10,12,7.6,8,6,7.4
"16/01/2015 17:04:56",6,6.2,8,9,14,25,6.2,6.4,6,7.2,10,12,7.2,7.4,6,7.4
"17/01/2015 11:12:14",6,6.2,8.2,9,14,25,6.2,6.6,5.6,7.2,9.8,12,7.2,7.8,6,7.4
"17/01/2015 13:51:35",6,6.2,8.2,9,14,25,6.2,6.6,5.6,7.2,9.8,12,7.2,7.8,6,7.4
"17/01/2015 17:49:26",6,6.2,8.2,9,14,25,6.2,6.4,5.8,7.2,9.8,12,7.2,7.8,6,7.4
"17/01/2015 23:36:32",6,6.2,8.4,9,14,25,6.2,6.4,5.8,7.2,9.8,12,7.2,7.8,6,7.4
"18/01/2015 11:32:33",6,6.2,6.6,8.8,12.5,25,6,6.6,6,7.2,9.8,12,7.2,7.6,6.2,7.4
"18/01/2015 22:21:42",6,6.2,7,8.8,18.5,25,6.4,6.8,6,7.2,10,11.5,7.4,7.8,6.2,7.4
"19/01/2015 12:58:39",6,6.2,7,7.8,18.5,25,6.4,7,6,7.2,10,11.5,7.4,7.8,6.2,7.4
"20/01/2015 09:12:58",5.8,6.2,7,8,19,25,6.4,7,7,7.2,10.5,11,7.8,8,6.8,7.4
"20/01/2015 09:27:47",5.8,6.2,7,8,19,25,6.4,7,7,7.2,10.5,11,7.8,8,6.8,7.4
"21/01/2015 11:07:49",5.9,6.2,7,9,19,25,6.4,7,6.2,7.2,10.5,11,7.8,8.2,6.8,7.4
"21/01/2015 22:19:26",5.9,6.2,6.6,7,12.5,23,6.4,6.8,6.2,7.2,10.5,11,8,9,6.8,7.4
"22/01/2015 14:01:29",5.9,6.4,5.9,7.8,14,24,6.4,6.8,6.2,7.2,10.5,11,8,9,6.8,7.4
"23/01/2015 11:36:12",5.9,6.4,6,7.8,15.5,23,6.4,7,6.4,7.2,10,10.5,8.4,9,6.4,7.4
"23/01/2015 20:22:37",5.9,6.4,6,7.8,15.5,23,6.4,7,6.4,7.2,10,10.5,8.2,9,6.4,7.4
"24/01/2015 08:25:55",5.6,6.4,6,7.8,15.5,23,6.4,7,6.6,7.2,10,11,8.4,9,6.4,7.4
"25/01/2015 09:53:32",5.7,6,6.6,7.8,16,21,6.6,7,6.8,7.2,10.5,11,8.4,9,6.6,7.4
"25/01/2015 22:21:39",5.7,6,6.2,7.8,15.5,21,6.6,7,6.8,7.2,10.5,11.5,8.6,9,6.2,7.4
